time,deviceName,max_dB,class_label,average_dB,stdev,rssi,snr
2025-12-15 02:50:42,INMP441,57.8,Background Noise,54.4,1.75,-111,4.0
2025-12-15 02:51:42,INMP441,58.6,Background Noise,54.7,1.58,-106,9.0
2025-12-15 02:52:42,INMP441,58.3,Background Noise,54.7,1.41,-106,9.0
2025-12-15 02:53:42,INMP441,58.7,Background Noise,54.7,1.52,-116,-3.8
2025-12-15 02:54:42,INMP441,58.1,Background Noise,54.5,1.47,-108,7.3
2025-12-15 02:55:42,INMP441,57.9,Background Noise,54.7,1.79,-109,5.8
2025-12-15 02:56:42,INMP441,58.9,Background Noise,54.6,1.66,-107,7.5
2025-12-15 02:57:42,INMP441,58.5,Background Noise,54.7,1.46,-107,6.3
2025-12-15 02:58:42,INMP441,58.3,Background Noise,54.6,1.46,-111,4.3
2025-12-15 02:59:42,INMP441,58.1,Background Noise,54.7,1.38,-107,6.3
2025-12-15 03:00:42,INMP441,58.2,Background Noise,54.6,1.48,-106,8.8
2025-12-15 03:01:42,INMP441,58.6,Background Noise,54.9,1.58,-107,7.0
2025-12-15 03:02:42,INMP441,58.6,Background Noise,54.8,1.6,-109,6.8
2025-12-15 03:03:42,INMP441,57.9,Background Noise,54.7,1.59,-116,-5.3
2025-12-15 03:04:42,INMP441,58.5,Background Noise,54.8,1.61,-105,9.3
2025-12-15 03:05:42,INMP441,59.1,Background Noise,54.8,1.53,-109,6.0
2025-12-15 03:06:42,INMP441,58.2,Background Noise,54.7,1.36,-108,7.3
2025-12-15 03:07:43,INMP441,58.8,Background Noise,54.5,1.53,-106,8.8
2025-12-15 03:08:43,INMP441,58.7,Background Noise,54.5,1.77,-106,6.8
2025-12-15 03:09:43,INMP441,58.4,Background Noise,54.7,1.53,-114,
2025-12-15 03:10:43,INMP441,58.3,Background Noise,54.6,1.38,-108,7.3
2025-12-15 03:11:43,INMP441,58.6,Background Noise,54.7,1.64,-112,3.8
2025-12-15 03:12:43,INMP441,59.3,Background Noise,54.8,1.63,-106,9.0
2025-12-15 03:13:43,INMP441,57.7,Background Noise,54.6,1.41,-109,6.5
2025-12-15 03:14:43,INMP441,58.5,Background Noise,54.5,1.5,-111,4.3
2025-12-15 03:15:43,INMP441,58.0,Background Noise,54.7,1.48,-108,7.0
2025-12-15 03:16:43,INMP441,58.4,Background Noise,54.6,1.39,-107,5.8
2025-12-15 03:17:43,INMP441,59.3,Background Noise,54.8,1.52,-107,7.5
2025-12-15 03:18:43,INMP441,58.9,Background Noise,54.7,1.67,-109,5.8
2025-12-15 03:19:43,INMP441,58.4,Background Noise,54.6,1.38,-105,
2025-12-15 03:20:43,INMP441,58.4,Background Noise,54.5,1.53,-114,-0.5
2025-12-15 03:21:43,INMP441,58.4,Background Noise,54.8,1.42,-106,4.5
2025-12-15 03:22:43,INMP441,58.1,Background Noise,54.7,1.45,-111,4.0
2025-12-15 03:23:43,INMP441,58.1,Background Noise,54.6,1.48,-106,7.0
2025-12-15 03:24:43,INMP441,59.1,Background Noise,54.6,1.55,-105,9.5
2025-12-15 03:25:43,INMP441,58.8,Background Noise,54.8,1.39,-113,-0.3
2025-12-15 03:26:43,INMP441,58.5,Background Noise,54.5,2.0,-109,6.8
2025-12-15 03:27:43,INMP441,58.0,Background Noise,54.6,1.91,-106,9.0
2025-12-15 03:28:43,INMP441,57.9,Background Noise,54.5,1.52,-108,7.5
2025-12-15 03:29:43,INMP441,58.1,Background Noise,54.7,1.43,-111,4.0
2025-12-15 03:30:43,INMP441,59.0,Background Noise,54.6,1.76,-111,4.0
2025-12-15 03:31:43,INMP441,57.7,Background Noise,54.6,1.7,-116,-4.8
2025-12-15 03:32:43,INMP441,59.3,Background Noise,54.6,1.43,-106,9.3
2025-12-15 03:33:44,INMP441,57.9,Background Noise,54.4,1.93,-107,7.8
2025-12-15 03:34:44,INMP441,58.1,Background Noise,54.8,1.23,-107,7.8
2025-12-15 03:35:44,INMP441,58.0,Background Noise,54.6,1.55,-105,9.0
2025-12-15 03:36:44,INMP441,59.9,Background Noise,54.6,1.91,-106,7.0
2025-12-15 03:37:44,INMP441,57.8,Background Noise,54.5,1.42,-109,5.8
2025-12-15 03:38:44,INMP441,59.1,Background Noise,54.5,2.04,-110,5.8
2025-12-15 03:39:44,INMP441,58.2,Background Noise,54.3,1.96,-105,9.3
2025-12-15 03:40:44,INMP441,58.3,Background Noise,54.8,1.46,-111,4.0
2025-12-15 03:41:44,INMP441,59.0,Background Noise,54.8,1.58,-106,8.5
2025-12-15 03:42:44,INMP441,58.4,Background Noise,54.8,1.59,-108,7.3
2025-12-15 03:43:44,INMP441,58.3,Background Noise,54.6,1.43,-109,4.0
2025-12-15 03:44:44,INMP441,59.0,Background Noise,54.6,1.46,-116,-5.0
2025-12-15 03:45:44,INMP441,59.1,Background Noise,54.7,1.74,-107,8.0
2025-12-15 03:46:44,INMP441,58.2,Background Noise,54.6,1.4,-113,2.8
2025-12-15 03:47:44,INMP441,58.2,Background Noise,54.6,1.65,-111,1.8
2025-12-15 03:48:44,INMP441,58.5,Background Noise,54.8,1.43,-107,7.8
2025-12-15 03:49:44,INMP441,58.7,Background Noise,54.8,1.46,-106,8.3
2025-12-15 03:50:44,INMP441,57.9,Background Noise,54.7,1.3,-105,8.0
2025-12-15 03:51:44,INMP441,58.8,Background Noise,54.8,1.49,-107,8.0
2025-12-15 03:52:44,INMP441,59.3,Background Noise,54.6,1.8,-108,6.8
2025-12-15 03:53:44,INMP441,59.0,Background Noise,54.6,1.9,-114,-1.3
2025-12-15 03:54:44,INMP441,59.1,Background Noise,54.5,1.8,-111,4.3
2025-12-15 03:55:52,INMP441,58.4,Background Noise,54.7,1.76,-110,5.8
2025-12-15 03:56:44,INMP441,59.8,Background Noise,54.6,1.55,-114,1.0
2025-12-15 03:57:44,INMP441,58.5,Background Noise,54.7,1.48,-109,6.5
2025-12-15 03:58:44,INMP441,58.0,Background Noise,54.5,1.96,-106,7.0
2025-12-15 03:59:45,INMP441,58.1,Background Noise,54.8,1.46,-109,6.3
2025-12-15 04:00:45,INMP441,58.6,Background Noise,54.8,1.37,-106,8.8
2025-12-15 04:01:45,INMP441,58.1,Background Noise,54.8,1.46,-107,8.5
2025-12-15 04:02:45,INMP441,72.2,People,56.1,2.91,-109,6.5
2025-12-15 04:03:45,INMP441,62.5,Background Noise,58.6,1.64,-106,8.3
2025-12-15 04:04:45,INMP441,62.8,Background Noise,58.8,1.61,-104,9.8
2025-12-15 04:05:45,INMP441,62.5,Background Noise,58.4,1.7,-109,5.0
2025-12-15 04:06:45,INMP441,62.1,People,58.3,1.48,-108,7.3
2025-12-15 04:07:45,INMP441,62.1,Background Noise,58.2,1.68,-115,-1.3
2025-12-15 04:08:45,INMP441,62.3,Background Noise,58.6,1.46,-108,5.8
2025-12-15 04:09:45,INMP441,63.0,Background Noise,58.5,1.51,-108,7.3
2025-12-15 04:10:45,INMP441,62.5,Background Noise,58.6,1.54,-110,4.8
2025-12-15 04:11:45,INMP441,62.3,Background Noise,58.4,1.71,-106,8.8
2025-12-15 04:12:45,INMP441,62.5,Background Noise,58.5,1.65,-108,-10.0
2025-12-15 04:13:45,INMP441,62.5,People,58.6,1.58,-106,8.0
2025-12-15 04:14:45,INMP441,63.1,Background Noise,58.6,1.65,-107,8.3
2025-12-15 04:15:45,INMP441,63.2,Background Noise,58.6,1.5,-108,4.5
2025-12-15 04:16:45,INMP441,62.5,Background Noise,58.4,1.63,-109,6.0
2025-12-15 04:17:45,INMP441,62.4,Background Noise,58.4,1.54,-109,6.3
2025-12-15 04:18:45,INMP441,62.7,People,58.4,1.64,-109,6.0
